"region" "subject" "expt" "item" "condition" "position" "word" "times" "value" "gram" "int"
"466" "NP3" 21 "gug" 11 "c" 8 "visitor" "rt" 756 "ungram" "hi"
"468" "NP3" 21 "gug" 2 "b" 8 "sister" "rt" 404 "gram" "lo"
"470" "NP3" 21 "gug" 5 "a" 8 "father" "rt" 660 "gram" "hi"
"472" "NP3" 21 "gug" 15 "c" 8 "peasant" "rt" 443 "ungram" "hi"
"474" "NP3" 21 "gug" 6 "b" 8 "conductor" "rt" 731 "gram" "lo"
"476" "NP3" 21 "gug" 4 "d" 8 "professor" "rt" 388 "ungram" "lo"
"478" "NP3" 21 "gug" 8 "d" 8 "doctor" "rt" 715 "ungram" "lo"
"480" "NP3" 21 "gug" 9 "a" 8 "bystander" "rt" 587 "gram" "hi"
"482" "NP3" 22 "gug" 16 "a" 8 "friend" "rt" 2555 "gram" "hi"
"484" "NP3" 22 "gug" 8 "a" 8 "doctor" "rt" 2091 "gram" "hi"
"486" "NP3" 22 "gug" 4 "a" 8 "professor" "rt" 1387 "gram" "hi"
"488" "NP3" 22 "gug" 2 "c" 8 "sister" "rt" 1258 "ungram" "hi"
"490" "NP3" 22 "gug" 1 "b" 8 "peasant" "rt" 1786 "gram" "lo"
"492" "NP3" 22 "gug" 15 "d" 8 "peasant" "rt" 1275 "ungram" "lo"
"494" "NP3" 22 "gug" 10 "c" 8 "guard" "rt" 1268 "ungram" "hi"
"496" "NP3" 22 "gug" 9 "b" 8 "bystander" "rt" 1579 "gram" "lo"
"498" "NP3" 22 "gug" 13 "b" 8 "worker" "rt" 1034 "gram" "lo"
"500" "NP3" 22 "gug" 6 "c" 8 "conductor" "rt" 1027 "ungram" "hi"
"502" "NP3" 22 "gug" 14 "c" 8 "spy" "rt" 1075 "ungram" "hi"
"504" "NP3" 22 "gug" 5 "b" 8 "father" "rt" 1019 "gram" "lo"
"506" "NP3" 22 "gug" 7 "d" 8 "stranger" "rt" 883 "ungram" "lo"
"508" "NP3" 22 "gug" 3 "d" 8 "foreman" "rt" 1036 "ungram" "lo"
"510" "NP3" 22 "gug" 11 "d" 8 "visitor" "rt" 835 "ungram" "lo"
"512" "NP3" 22 "gug" 12 "a" 8 "teacher" "rt" 731 "gram" "hi"
"514" "NP3" 23 "gug" 7 "a" 8 "stranger" "rt" 1019 "gram" "hi"
"516" "NP3" 23 "gug" 3 "a" 8 "foreman" "rt" 2747 "gram" "hi"
"518" "NP3" 23 "gug" 14 "d" 8 "spy" "rt" 1179 "ungram" "lo"
"520" "NP3" 23 "gug" 5 "c" 8 "father" "rt" 1004 "ungram" "hi"
"522" "NP3" 23 "gug" 6 "d" 8 "conductor" "rt" 1187 "ungram" "lo"
"524" "NP3" 23 "gug" 2 "d" 8 "sister" "rt" 956 "ungram" "lo"
"526" "NP3" 23 "gug" 13 "c" 8 "worker" "rt" 955 "ungram" "hi"
"528" "NP3" 23 "gug" 10 "d" 8 "guard" "rt" 1115 "ungram" "lo"
"530" "NP3" 23 "gug" 1 "c" 8 "peasant" "rt" 771 "ungram" "hi"
"532" "NP3" 23 "gug" 16 "b" 8 "friend" "rt" 3531 "gram" "lo"
"534" "NP3" 23 "gug" 11 "a" 8 "visitor" "rt" 851 "gram" "hi"
"536" "NP3" 23 "gug" 8 "b" 8 "doctor" "rt" 988 "gram" "lo"
"538" "NP3" 23 "gug" 12 "b" 8 "teacher" "rt" 883 "gram" "lo"
"540" "NP3" 23 "gug" 9 "c" 8 "bystander" "rt" 2715 "ungram" "hi"
"542" "NP3" 23 "gug" 15 "a" 8 "peasant" "rt" 2195 "gram" "hi"
"544" "NP3" 23 "gug" 4 "b" 8 "professor" "rt" 475 "gram" "lo"
"546" "NP3" 24 "gug" 7 "b" 8 "stranger" "rt" 939 "gram" "lo"
"548" "NP3" 24 "gug" 8 "c" 8 "doctor" "rt" 1348 "ungram" "hi"
"550" "NP3" 24 "gug" 13 "d" 8 "worker" "rt" 1172 "ungram" "lo"
"552" "NP3" 24 "gug" 14 "a" 8 "spy" "rt" 987 "gram" "hi"
"554" "NP3" 24 "gug" 15 "b" 8 "peasant" "rt" 844 "gram" "lo"
"556" "NP3" 24 "gug" 6 "a" 8 "conductor" "rt" 995 "gram" "hi"
"558" "NP3" 24 "gug" 9 "d" 8 "bystander" "rt" 987 "ungram" "lo"
"560" "NP3" 24 "gug" 4 "c" 8 "professor" "rt" 843 "ungram" "hi"
"562" "NP3" 24 "gug" 12 "c" 8 "teacher" "rt" 1052 "ungram" "hi"
"564" "NP3" 24 "gug" 3 "b" 8 "foreman" "rt" 1059 "gram" "lo"
"566" "NP3" 24 "gug" 16 "c" 8 "friend" "rt" 932 "ungram" "hi"
"568" "NP3" 24 "gug" 5 "d" 8 "father" "rt" 892 "ungram" "lo"
"570" "NP3" 24 "gug" 1 "d" 8 "peasant" "rt" 1060 "ungram" "lo"
"572" "NP3" 24 "gug" 11 "b" 8 "visitor" "rt" 931 "gram" "lo"
"574" "NP3" 24 "gug" 10 "a" 8 "guard" "rt" 764 "gram" "hi"
"576" "NP3" 24 "gug" 2 "a" 8 "sister" "rt" 915 "gram" "hi"
"578" "NP3" 25 "gug" 11 "c" 8 "visitor" "rt" 724 "ungram" "hi"
"580" "NP3" 25 "gug" 3 "c" 8 "foreman" "rt" 964 "ungram" "hi"
"582" "NP3" 25 "gug" 5 "a" 8 "father" "rt" 627 "gram" "hi"
"584" "NP3" 25 "gug" 6 "b" 8 "conductor" "rt" 811 "gram" "lo"
"586" "NP3" 25 "gug" 1 "a" 8 "peasant" "rt" 540 "gram" "hi"
"588" "NP3" 25 "gug" 14 "b" 8 "spy" "rt" 508 "gram" "lo"
"590" "NP3" 25 "gug" 8 "d" 8 "doctor" "rt" 884 "ungram" "lo"
"592" "NP3" 25 "gug" 10 "b" 8 "guard" "rt" 443 "gram" "lo"
"594" "NP3" 25 "gug" 4 "d" 8 "professor" "rt" 643 "ungram" "lo"
"596" "NP3" 25 "gug" 9 "a" 8 "bystander" "rt" 532 "gram" "hi"
"598" "NP3" 25 "gug" 16 "d" 8 "friend" "rt" 572 "ungram" "lo"
"600" "NP3" 25 "gug" 2 "b" 8 "sister" "rt" 844 "gram" "lo"
"602" "NP3" 25 "gug" 13 "a" 8 "worker" "rt" 882 "gram" "hi"
"604" "NP3" 25 "gug" 12 "d" 8 "teacher" "rt" 652 "ungram" "lo"
