"subj" "group" "sent" "pos" "condfill" "raw" "wl" "NminusOne" "res"
"232" "s39" "gp3" "sent56" "pos7" "J" 361 4 1542 -94.4963514
"233" "s39" "gp3" "sent64" "pos7" "J" 434 4 1325 -202.4938003
"234" "s39" "gp3" "sent73" "pos7" "J" 322 5 1224 -150.0479389
"235" "s40" "gp4" "sent7" "pos7" "J" 1713 4 8120 345.111642
"236" "s40" "gp4" "sent17" "pos7" "J" 1131 7 6568 -23.9986184
"237" "s40" "gp4" "sent38" "pos7" "J" 814 3 6829 308.5470167
"238" "s40" "gp4" "sent49" "pos7" "J" 828 6 2643 -63.8387551
"239" "s40" "gp4" "sent66" "pos7" "J" 745 6 2321 55.4140791
"240" "s40" "gp4" "sent71" "pos7" "J" 1274 13 4089 -161.8208977
"241" "s41" "gp4" "sent7" "pos7" "J" 621 4 1610 -160.3521309
"242" "s41" "gp4" "sent17" "pos7" "J" 443 7 1298 -327.4146757
"243" "s41" "gp4" "sent38" "pos7" "J" 602 3 2321 -475.5249653
"244" "s41" "gp4" "sent49" "pos7" "J" 1020 6 1650 -227.6554177
"245" "s41" "gp4" "sent66" "pos7" "J" 304 6 9725 -351.6117079
"246" "s41" "gp4" "sent71" "pos7" "J" 280 13 955 -682.8383399
"247" "s42" "gp4" "sent7" "pos7" "J" 350 4 1057 126.7413153
"248" "s42" "gp4" "sent17" "pos7" "J" 597 7 1487 264.9793888
"249" "s42" "gp4" "sent38" "pos7" "J" 293 3 788 53.6767919
"250" "s42" "gp4" "sent49" "pos7" "J" 304 6 852 -1167.718704
"251" "s42" "gp4" "sent66" "pos7" "J" 398 6 1285 -738.8349816
"252" "s42" "gp4" "sent71" "pos7" "J" 281 13 793 -660.3971944
"253" "s43" "gp4" "sent7" "pos7" "J" 564 4 1985 1341.0540131
"254" "s43" "gp4" "sent17" "pos7" "J" 556 7 2056 809.6108759
"255" "s43" "gp4" "sent38" "pos7" "J" 490 3 1395 998.9148654
"256" "s43" "gp4" "sent49" "pos7" "J" 515 6 1455 111.5382692
"257" "s43" "gp4" "sent66" "pos7" "J" 486 6 1504 -325.7125736
"258" "s43" "gp4" "sent71" "pos7" "J" 849 13 1405 1456.6976186
"259" "s44" "gp4" "sent7" "pos7" "J" 530 4 8581 -52.8444444
"260" "s44" "gp4" "sent17" "pos7" "J" 949 7 8187 394.1233392
"261" "s44" "gp4" "sent38" "pos7" "J" 1590 3 2630 174.8449272
"262" "s44" "gp4" "sent49" "pos7" "J" 480 6 1851 -7.6762702
"263" "s44" "gp4" "sent66" "pos7" "J" 493 6 2641 -519.1046464
"264" "s44" "gp4" "sent71" "pos7" "J" 1027 13 1833 -34.4953527
"265" "s45" "gp4" "sent7" "pos7" "J" 2008 4 4263 -132.9357117
"266" "s45" "gp4" "sent17" "pos7" "J" 575 7 1519 75.8851445
"267" "s45" "gp4" "sent38" "pos7" "J" 632 3 1466 -492.1103073
"268" "s45" "gp4" "sent49" "pos7" "J" 359 6 1085 -389.4589556
"269" "s45" "gp4" "sent66" "pos7" "J" 489 6 1426 -183.1783409
"270" "s45" "gp4" "sent71" "pos7" "J" 477 13 1504 -756.9164255
"271" "s46" "gp4" "sent7" "pos7" "J" 460 4 1426 313.0427427
"272" "s46" "gp4" "sent17" "pos7" "J" 313 7 1066 1964.0801633
"273" "s46" "gp4" "sent38" "pos7" "J" 578 3 1540 -224.6273157
"274" "s46" "gp4" "sent49" "pos7" "J" 426 6 1187 -312.3506843
"275" "s46" "gp4" "sent66" "pos7" "J" 321 6 890 -365.1942158
"276" "s46" "gp4" "sent71" "pos7" "J" 262 13 919 -252.4147272
"277" "s47" "gp4" "sent7" "pos7" "J" 584 4 2548 402.4446866
"278" "s47" "gp4" "sent17" "pos7" "J" 513 7 1477 1234.454326
"279" "s47" "gp4" "sent38" "pos7" "J" 1484 3 1975 175.8919668
"280" "s47" "gp4" "sent49" "pos7" "J" 900 6 2697 -37.6358108
"281" "s47" "gp4" "sent66" "pos7" "J" 752 6 2735 687.3590834
"282" "s47" "gp4" "sent71" "pos7" "J" 770 13 1982 -185.7304812
"283" "s48" "gp4" "sent7" "pos7" "J" 595 4 1942 56.8959355
"284" "s48" "gp4" "sent17" "pos7" "J" 771 7 1694 -610.8330892
"285" "s48" "gp4" "sent38" "pos7" "J" 411 3 1267 -91.6528374
"286" "s48" "gp4" "sent49" "pos7" "J" 495 6 1472 -608.9164255
"287" "s48" "gp4" "sent66" "pos7" "J" 311 6 1165 491.7853901
"288" "s48" "gp4" "sent71" "pos7" "J" 382 13 959 -757.8841107
"289" "s49" "gp4" "sent7" "pos7" "J" 1671 4 3301 -4.4684208
"290" "s49" "gp4" "sent17" "pos7" "J" 622 7 1567 234.3981309
"291" "s49" "gp4" "sent38" "pos7" "J" 476 3 2956 -89.8017952
"292" "s49" "gp4" "sent49" "pos7" "J" 422 6 2217 0.6883091
"293" "s49" "gp4" "sent66" "pos7" "J" 281 6 1232 -95.2372472
"294" "s49" "gp4" "sent71" "pos7" "J" 1182 13 455 16.4887524
"295" "s50" "gp4" "sent7" "pos7" "J" 821 4 4361 -204.9117155
"296" "s50" "gp4" "sent17" "pos7" "J" 1112 7 2628 -146.1940511
"297" "s50" "gp4" "sent38" "pos7" "J" 622 3 4979 -154.8727485
"298" "s50" "gp4" "sent49" "pos7" "J" 1067 6 2547 -148.5467243
"299" "s50" "gp4" "sent66" "pos7" "J" 955 6 3545 -163.7315807
"300" "s50" "gp4" "sent71" "pos7" "J" 1245 13 2862 -73.6725761
"301" "s51" "gp4" "sent7" "pos7" "J" 693 4 2068 -15.3279918
"302" "s51" "gp4" "sent17" "pos7" "J" 385 7 1535 167.1073371
"303" "s51" "gp4" "sent38" "pos7" "J" 321 3 1040 -88.5240582
"304" "s51" "gp4" "sent49" "pos7" "J" 307 6 1694 17.2253463
"305" "s51" "gp4" "sent66" "pos7" "J" 369 6 1086 -156.206246
"306" "s51" "gp4" "sent71" "pos7" "J" 375 13 1365 381.9819777
"307" "s52" "gp4" "sent7" "pos7" "J" 1910 4 3961 -162.8848203
"308" "s52" "gp4" "sent17" "pos7" "J" 936 7 2587 -68.7514951
"309" "s52" "gp4" "sent38" "pos7" "J" 587 3 2078 110.1663417
"310" "s52" "gp4" "sent49" "pos7" "J" 490 6 2107 49.9583267
"311" "s52" "gp4" "sent66" "pos7" "J" 643 6 1470 -110.304587
"312" "s52" "gp4" "sent71" "pos7" "J" 706 13 1530 705.4215358
"313" "s53" "gp4" "sent7" "pos7" "J" 472 4 1811 317.4022555
"314" "s53" "gp4" "sent17" "pos7" "J" 397 7 1133 1300.5272661
"315" "s53" "gp4" "sent38" "pos7" "J" 349 3 2490 -124.4363364
