"subj" "id" "cond" "roi" "FFD" "FFP" "SFD" "FPRT" "RBRT" "TFT" "RPD" "CRPD" "RRT" "RRTP" "RRTR" "RBRC" "TRC" "LPRT"
"293" 2 12 "c" 6 265 1 0 1101 1101 1101 1101 3591 0 0 0 0 0 1101
"294" 2 12 "c" 7 0 0 0 0 0 0 0 3591 0 0 0 0 0 0
"295" 2 13 "b" 1 31 1 0 374 374 374 374 374 0 0 0 0 0 374
"296" 2 13 "b" 2 198 1 198 198 198 198 198 572 0 0 0 0 0 198
"297" 2 13 "b" 3 207 1 0 672 672 672 672 1244 0 0 0 0 0 672
"298" 2 13 "b" 4 357 1 357 357 357 357 357 1601 0 0 0 0 0 357
"299" 2 13 "b" 5 0 0 0 0 0 0 0 1601 0 0 0 0 0 0
"300" 2 13 "b" 6 235 1 0 839 839 839 839 2440 0 0 0 0 0 839
"301" 2 13 "b" 7 0 0 0 0 0 0 0 2440 0 0 0 0 0 0
"302" 2 14 "a" 1 406 1 406 406 406 406 406 406 0 0 0 0 0 406
"303" 2 14 "a" 2 287 1 287 287 287 287 287 693 0 0 0 0 0 287
"304" 2 14 "a" 3 268 1 0 438 438 438 438 1131 0 0 0 0 0 438
"305" 2 14 "a" 4 0 0 0 0 0 0 0 1131 0 0 0 0 0 0
"306" 2 14 "a" 5 0 0 0 0 0 0 0 1131 0 0 0 0 0 0
"307" 2 14 "a" 6 201 1 0 1078 1078 1078 1078 2209 0 0 0 0 0 1078
"308" 2 14 "a" 7 0 0 0 0 0 0 0 2209 0 0 0 0 0 0
