Pre-test LatSq-list subj-ID item-ID cond verb
1 4 N 22 c dadan
1 4 R 22 c dadan
1 4 SM-M 22 c dadan
1 4 V 22 c dadan
1 3 M-A 22 d amani-dadan
1 3 S-GH2 22 d dadan
1 3 S-R 22 d dadan
1 3 ZH-Z 22 d dadan
1 3 B-N 22 d sepordan
1 3 M-Z 22 d sepordan
1 3 N-KH 22 d sepordan
1 3 S-GH- 22 d sepordan
1 3 B-N 23 a dadan
1 3 M-A 23 a dadan
1 3 M-Z 23 a dadan
1 3 N-KH 23 a dadan
1 3 S-GH- 23 a dadan
1 3 S-GH2 23 a dadan
1 3 S-R 23 a dadan
1 3 ZH-Z 23 a dadan
1 2 D-KH 23 b dadan
1 2 M-CH 23 b dadan
1 2 N 23 b dadan
1 2 S 23 b dadan
1 2 S-A- 23 b dadan
1 2 S-A-E 23 b dadan
1 2 SH-H 23 b dadan
1 2 T-D 23 b dadan
1 1 A 23 c dadan
1 1 H 23 c dadan
1 1 H-CH 23 c dadan
1 1 K-V 23 c dadan
1 1 M 23 c dadan
1 1 M-V 23 c dadan
1 1 R- 23 c dadan
1 1 R-G 23 c kardan
1 4 A-GH 23 d dadan
1 4 H 23 d dadan
1 4 M 23 d dadan
1 4 M2 23 d dadan
1 4 N 23 d dadan
1 4 R 23 d dadan
1 4 SM-M 23 d dadan
1 4 V 23 d dadan
1 4 A-GH 24 a dadan
1 4 H 24 a dadan
1 4 M 24 a dadan
1 4 M2 24 a dadan
1 4 N 24 a dadan
1 4 R 24 a dadan
1 4 SM-M 24 a dadan
1 4 V 24 a dadan
1 3 B-N 24 b dadan
1 3 M-A 24 b dadan
1 3 M-Z 24 b dadan
1 3 N-KH 24 b dadan
1 3 S-GH- 24 b dadan
1 3 S-GH2 24 b dadan
1 3 S-R 24 b dadan
1 3 ZH-Z 24 b dadan
1 2 D-KH 24 c dadan
1 2 M-CH 24 c dadan
1 2 N 24 c dadan
1 2 S 24 c dadan
1 2 S-A-E 24 c dadan
1 2 SH-H 24 c dadan
1 2 S-A- 24 c dadan
1 2 T-D 24 c dadan
1 1 A 24 d dadan
1 1 H 24 d dadan
1 1 H-CH 24 d dadan
1 1 K-V 24 d dadan
1 1 M 24 d dadan
1 1 M-V 24 d dadan
1 1 R- 24 d dadan
1 1 R-G 24 d dadan
1 1 A 25 a goftan
1 1 H 25 a goftan
1 1 H-CH 25 a goftan
1 1 K-V 25 a goftan
1 1 M 25 a goftan
1 1 M-V 25 a goftan
1 1 R- 25 a goftan
1 1 R-G 25 a goftan
1 4 A-GH 25 b goftan
1 4 H 25 b goftan
1 4 M 25 b goftan
1 4 M2 25 b goftan
1 4 N 25 b goftan
1 4 R 25 b goftan
1 4 V 25 b goftan
1 4 SM-M 25 b tahvil-dadan
1 3 M-Z 25 c dadan
1 3 N-KH 25 c dadan
1 3 S-GH- 25 c dadan
1 3 S-GH2 25 c dadan
1 3 ZH-Z 25 c dadan
1 3 B-N 25 c hedie-dadan
1 3 S-R 25 c hedie-dadan
1 3 M-A 25 c neshan-dadan
1 2 D-KH 25 d dadan
1 2 M-CH 25 d dadan
1 2 N 25 d dadan
1 2 S-A-E 25 d dadan
1 2 SH-H 25 d dadan
1 2 S 25 d hedie-dadan
1 2 T-D 25 d hedie-dadan
1 2 S-A- 25 d neshan-dadan
1 2 D-KH 26 a dashtan
1 2 S 26 a dashtan
1 2 S-A- 26 a dashtan
1 2 SH-H 26 a dashtan
1 2 T-D 26 a dashtan
1 2 N 26 a dashttan
1 2 M-CH 26 a kardan
1 2 S-A-E 26 a kardan
1 1 H 26 b anjam-dadan
1 1 A 26 b be-anjam-resandan
1 1 H-CH 26 b be-anjam-resandan
1 1 R-G 26 b be-dast-avardan
1 1 K-V 26 b dashtan
1 1 M 26 b dashtan
1 1 R- 26 b kasb-kardan
1 1 M-V 26 b neshan-dadan
1 4 SM-M 26 c ejra-kardan
1 4 A-GH 26 c khandan
1 4 H 26 c khandan
1 4 M 26 c khandan
1 4 M2 26 c khandan
1 4 N 26 c khandan
1 4 R 26 c khandan
1 4 V 26 c khandan
1 3 S-GH2 26 d dadan
1 3 B-N 26 d ejra-kardan
1 3 M-Z 26 d ejra-kardan
1 3 N-KH 26 d ejra-kardan
1 3 S-R 26 d ejra-kardan
1 3 ZH-Z 26 d gom-kardan
1 3 M-A 26 d khandan
1 3 S-GH- 26 d khandan
1 3 M-A 27 a dashtan
1 3 B-N 27 a kardan
1 3 M-Z 27 a kardan
1 3 N-KH 27 a kardan
1 3 S-GH- 27 a kardan
1 3 S-GH2 27 a kardan
1 3 S-R 27 a kardan
1 3 ZH-Z 27 a kardan
1 2 D-KH 27 b kardan
1 2 M-CH 27 b kardan
1 2 N 27 b kardan
1 2 S 27 b kardan
1 2 S-A- 27 b kardan
1 2 S-A-E 27 b kardan
1 2 SH-H 27 b kardan
1 2 T-D 27 b kardan
1 1 A 27 c goftan
1 1 H 27 c goftan
1 1 H-CH 27 c goftan
1 1 K-V 27 c goftan
1 1 M 27 c goftan
1 1 M-V 27 c goftan
1 1 R- 27 c goftan
1 1 R-G 27 c goftan
1 4 A-GH 27 d goftan
1 4 H 27 d goftan
1 4 M 27 d goftan
1 4 M2 27 d goftan
1 4 N 27 d goftan
1 4 R 27 d goftan
1 4 SM-M 27 d goftan
1 4 V 27 d goftan
1 4 A-GH 28 a kardan
1 4 H 28 a kardan
1 4 M 28 a kardan
1 4 M2 28 a kardan
1 4 N 28 a kardan
1 4 R 28 a kardan
1 4 SM-M 28 a kardan
1 4 V 28 a kardan
1 3 M-A 28 b dadan
1 3 S-GH2 28 b dar-mian-gozashtan
1 3 S-GH- 28 b dashtan
1 3 N-KH 28 b dashtan
1 3 B-N 28 b kardan
