ID	exp	item	condition	CL 	BEI	aligned.position	region	correct	RT
9	e5	1	a	noCL	noBEI	2	2	-	394
9	e5	1	a	noCL	noBEI	3	3	-	450
9	e5	1	a	noCL	noBEI	4	4	-	442
9	e5	1	a	noCL	noBEI	5	5	-	418
9	e5	1	a	noCL	noBEI	6	6	-	569
9	e5	1	a	noCL	noBEI	?	?	1	1582
9	e5	5	a	noCL	noBEI	0	0	-	411
9	e5	5	a	noCL	noBEI	1	1	-	340
9	e5	5	a	noCL	noBEI	2	2	-	322
9	e5	5	a	noCL	noBEI	3	3	-	355
9	e5	5	a	noCL	noBEI	4	4	-	394
9	e5	5	a	noCL	noBEI	5	5	-	514
9	e5	5	a	noCL	noBEI	6	6	-	562
9	e5	5	a	noCL	noBEI	?	?	1	1169
9	e5	9	a	noCL	noBEI	0	0	-	267
9	e5	9	a	noCL	noBEI	1	1	-	307
9	e5	9	a	noCL	noBEI	2	2	-	331
9	e5	9	a	noCL	noBEI	3	3	-	490
9	e5	9	a	noCL	noBEI	4	4	-	641
9	e5	9	a	noCL	noBEI	5	5	-	450
9	e5	9	a	noCL	noBEI	6	6	-	434
9	e5	9	a	noCL	noBEI	?	?	1	1024
9	e5	13	a	noCL	noBEI	0	0	-	347
9	e5	13	a	noCL	noBEI	1	1	-	394
9	e5	13	a	noCL	noBEI	2	2	-	578
9	e5	13	a	noCL	noBEI	3	3	-	1302
9	e5	13	a	noCL	noBEI	4	4	-	410
9	e5	13	a	noCL	noBEI	5	5	-	434
9	e5	13	a	noCL	noBEI	6	6	-	593
9	e5	13	a	noCL	noBEI	?	?	1	2760
9	e5	17	a	noCL	noBEI	0	0	-	403
9	e5	17	a	noCL	noBEI	1	1	-	363
9	e5	17	a	noCL	noBEI	2	2	-	346
9	e5	17	a	noCL	noBEI	3	3	-	378
9	e5	17	a	noCL	noBEI	4	4	-	609
9	e5	17	a	noCL	noBEI	5	5	-	442
9	e5	17	a	noCL	noBEI	6	6	-	1095
9	e5	17	a	noCL	noBEI	?	?	0	17374
9	e5	21	a	noCL	noBEI	0	0	-	1469
9	e5	21	a	noCL	noBEI	1	1	-	1803
9	e5	21	a	noCL	noBEI	2	2	-	593
9	e5	21	a	noCL	noBEI	3	3	-	2480
9	e5	21	a	noCL	noBEI	4	4	-	458
9	e5	21	a	noCL	noBEI	5	5	-	474
9	e5	21	a	noCL	noBEI	6	6	-	1063
9	e5	21	a	noCL	noBEI	?	?	1	4281
10	e5	4	a	noCL	noBEI	0	0	-	530
10	e5	4	a	noCL	noBEI	1	1	-	323
10	e5	4	a	noCL	noBEI	2	2	-	331
10	e5	4	a	noCL	noBEI	3	3	-	307
10	e5	4	a	noCL	noBEI	4	4	-	299
10	e5	4	a	noCL	noBEI	5	5	-	275
10	e5	4	a	noCL	noBEI	6	6	-	466
