subject, item, itempos, targetpos, condition, proficiency, V1, V2, V3, NP1, NP2, PP1, PP2, PP3
de8, i8, 6, 0, 1, 9, 6.165418, 6.021023, 5.780744, 6.131226, 5.429346, 6.113682, 5.805135, 5.852202
de8, i3, 8, 1, -1, 9, 6.165418, NaN, 5.874931, 5.590987, 6.131226, 6.606650, 5.940171, 6.539586
de8, i11, 13, 1, -1, 9, 6.095825, NaN, 6.077642, 6.077642, 6.165418, 6.059123, 5.676754, 6.504288
de8, i4, 17, 1, 1, 9, 5.877736, 6.148468, 5.808142, 5.730100, 5.620401, 6.276643, 5.897154, 5.676754
de8, i2, 22, 2, 1, 9, 5.852202, 5.855072, 6.246107, 6.059123, 6.527958, 6.429719, 6.198479, 6.738152
de8, i6, 25, 3, 1, 9, 5.755742, 6.021023, 5.852202, 5.730100, 6.306275, 5.828946, 5.703782, 5.680173
de8, i15, 31, 4, -1, 9, 5.877736, NaN, 5.897154, 5.805135, 5.560682, 5.897154, 5.703782, 5.652489
de8, i5, 37, 4, -1, 9, 7.024649, NaN, 5.899897, 6.291569, 5.961005, 5.918894, 5.707110, 6.131226
de8, i16, 43, 4, 1, 9, 6.246107, 6.416732, 5.828946, 6.291569, 5.852202, 5.874931, 5.805135, 6.246107
de8, i14, 47, 5, 1, 9, 6.059123, 5.828946, 6.335054, 5.852202, 5.730100, 6.040255, 5.755742, 5.730100
de8, i10, 49, 6, 1, 9, 6.077642, 6.148468, 5.852202, 6.040255, 5.755742, 6.246107, 5.918894, 5.805135
de8, i13, 54, 7, -1, 9, 5.590987, NaN, 5.897154, 5.961005, 5.874931, 5.755742, 5.648974, 5.620401
de8, i9, 61, 7, -1, 9, 6.021023, NaN, 5.703782, 6.320768, 6.042633, 5.676754, 5.676754, 5.529429
de8, i12, 63, 7, 1, 9, 5.676754, 5.961005, 5.780744, 5.620401, 5.703782, 6.230481, 5.590987, 5.393628
de8, i7, 67, 8, -1, 9, 5.730100, NaN, 5.780744, 5.707110, 5.676754, 6.390241, 5.961005, 5.648974
